Seed Function,Graph Modification,Activated Nodes Std Dev,"Activated Nodes Std Dev, Color (0)","Activated Nodes Std Dev, Color (1)",Avg Activated Nodes,"Avg Activated Nodes, Color (0)","Avg Activated Nodes, Color (1)",Avg Color Activation Count,Color Activation Count Std Dev,Number of Edges,Number of Nodes
Polarized Degree,Custom,0.0,0.0,0.0,3309.0,2677.0,632.0,1603.342,45.835,101490.0,10000.0
Polarized Degree,Custom V2,0.0,0.0,0.0,3084.0,2677.0,407.0,1274.976,64.684,101490.0,10000.0
Polarized Degree,Degree,0.0,0.0,0.0,2870.0,2677.0,193.0,584.151,9.176,101490.0,10000.0
Polarized Degree,Jaccard,0.0,0.0,0.0,2846.0,2677.0,169.0,544.314,17.125,101490.0,10000.0
Polarized Degree,KKT,0.0,0.0,0.0,2872.0,2677.0,195.0,576.442,8.739,101490.0,10000.0
Polarized Degree,Original Graph,0.0,0.0,0.0,2835.0,2677.0,158.0,487.272,5.582,99990.0,10000.0
Polarized Degree,PrefAtt,0.0,0.0,0.0,2968.0,2743.0,225.0,652.837,10.753,101490.0,10000.0
Polarized Degree,Random,0.0,0.0,0.0,3183.0,2881.0,302.0,842.24,17.036,101490.0,10000.0
Polarized Degree,TopK,0.0,0.0,0.0,2944.0,2702.0,242.0,700.986,13.795,101490.0,10000.0
